Day,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
03-23-2020,,,Ontario,Canada,2020-03-23 23:23:10,51.2538,-85.3232,503,6,0,0,"Ontario, Canada"
03-23-2020,,,Prince Edward Island,Canada,2020-03-23 23:23:10,46.5107,-63.4168,3,0,0,0,"Prince Edward Island, Canada"
03-23-2020,,,Qinghai,China,2020-02-23 11:19:02,35.7452,95.9956,18,0,18,0,"Qinghai, China"
03-23-2020,,,Quebec,Canada,2020-03-23 23:23:10,52.9399,-73.5491,628,4,0,0,"Quebec, Canada"
03-23-2020,,,Queensland,Australia,2020-03-23 23:23:20,-27.4698,153.0251,319,0,8,311,"Queensland, Australia"
03-23-2020,,,Reunion,France,2020-03-23 23:19:21,-21.1151,55.5364,71,0,1,70,"Reunion, France"
03-23-2020,,,Saint Barthelemy,France,2020-03-23 23:19:21,17.9,-62.8333,3,0,0,3,"Saint Barthelemy, France"
03-23-2020,,,Saskatchewan,Canada,2020-03-23 23:23:10,52.9399,-106.4509,66,0,0,0,"Saskatchewan, Canada"
03-23-2020,,,Shaanxi,China,2020-03-21 02:03:01,35.1917,108.8701,248,3,239,6,"Shaanxi, China"
03-23-2020,,,Shandong,China,2020-03-23 10:26:15,36.3427,118.1498,768,7,752,9,"Shandong, China"
03-23-2020,,,Shanghai,China,2020-03-23 14:18:01,31.201999999999998,121.4491,404,4,329,71,"Shanghai, China"
03-23-2020,,,Shanxi,China,2020-03-13 08:56:40,37.5777,112.2922,133,0,133,0,"Shanxi, China"
03-23-2020,,,Sichuan,China,2020-03-22 07:20:38,30.6171,102.7103,543,3,536,4,"Sichuan, China"
03-23-2020,,,Sint Maarten,Netherlands,2020-03-23 23:19:21,18.0425,-63.0548,2,0,0,2,"Sint Maarten, Netherlands"
03-23-2020,,,South Australia,Australia,2020-03-23 23:23:20,-34.9285,138.6007,134,0,6,128,"South Australia, Australia"
03-23-2020,,,St Martin,France,2020-03-23 23:19:21,18.0708,-63.0501,8,0,0,8,"St Martin, France"
03-23-2020,,,Tasmania,Australia,2020-03-23 23:23:20,-42.8821,147.3272,28,0,3,25,"Tasmania, Australia"
03-23-2020,,,Tianjin,China,2020-03-23 03:57:57,39.3054,117.323,141,3,133,5,"Tianjin, China"
03-23-2020,,,Tibet,China,2020-02-23 11:19:02,31.6927,88.0924,1,0,1,0,"Tibet, China"
03-23-2020,,,Victoria,Australia,2020-03-23 23:23:20,-37.8136,144.9631,355,0,97,258,"Victoria, Australia"
03-23-2020,,,Western Australia,Australia,2020-03-23 23:23:20,-31.9505,115.8605,140,1,1,138,"Western Australia, Australia"
03-23-2020,,,Xinjiang,China,2020-03-08 05:31:02,41.1129,85.2401,76,3,73,0,"Xinjiang, China"
03-23-2020,,,Yunnan,China,2020-03-16 23:37:18,24.974,101.48700000000001,176,2,172,2,"Yunnan, China"
03-23-2020,,,Zhejiang,China,2020-03-23 01:08:15,29.1832,120.0934,1238,1,1221,16,"Zhejiang, China"
03-23-2020,,,,Afghanistan,2020-03-23 23:19:21,33.93911,67.709953,40,1,1,38,Afghanistan
03-23-2020,,,,Albania,2020-03-23 23:19:21,41.1533,20.1683,104,4,2,98,Albania
03-23-2020,,,,Algeria,2020-03-23 23:19:21,28.0339,1.6596,230,17,65,148,Algeria
03-23-2020,,,,Andorra,2020-03-23 23:19:21,42.5063,1.5218,133,1,1,131,Andorra
03-23-2020,,,,Angola,2020-03-23 23:19:21,-11.2027,17.8739,3,0,0,3,Angola
03-23-2020,,,,Antigua and Barbuda,2020-03-23 23:19:21,17.0608,-61.7964,3,0,0,3,Antigua and Barbuda
03-23-2020,,,,Argentina,2020-03-23 23:19:21,-38.4161,-63.6167,266,4,27,235,Argentina
03-23-2020,,,,Armenia,2020-03-23 23:19:21,40.0691,45.0382,235,0,2,233,Armenia
03-23-2020,,,,Austria,2020-03-23 23:19:21,47.5162,14.5501,4474,21,9,4444,Austria
03-23-2020,,,,Azerbaijan,2020-03-23 23:19:21,40.1431,47.5769,72,1,10,61,Azerbaijan
03-23-2020,,,,Bahamas,2020-03-23 23:19:21,25.025885,-78.035889,4,0,0,4,Bahamas
03-23-2020,,,,Bahrain,2020-03-23 23:19:21,26.0275,50.55,377,2,164,211,Bahrain
03-23-2020,,,,Bangladesh,2020-03-23 23:19:21,23.685,90.3563,33,3,5,25,Bangladesh
03-23-2020,,,,Barbados,2020-03-23 23:19:21,13.1939,-59.5432,17,0,0,17,Barbados
03-23-2020,,,,Belarus,2020-03-23 23:19:21,53.7098,27.9534,81,0,22,59,Belarus
03-23-2020,,,,Belgium,2020-03-23 23:19:21,50.8333,4.469936,3743,88,401,3254,Belgium
03-23-2020,,,,Belize,2020-03-23 23:19:21,13.1939,-59.5432,1,0,0,1,Belize
03-23-2020,,,,Benin,2020-03-23 23:19:21,9.3077,2.3158,5,0,0,5,Benin
03-23-2020,,,,Bhutan,2020-03-23 23:19:21,27.5142,90.4336,2,0,0,2,Bhutan
03-23-2020,,,,Bolivia,2020-03-23 23:19:21,-16.2902,-63.5887,27,0,0,27,Bolivia
03-23-2020,,,,Bosnia and Herzegovina,2020-03-23 23:19:21,43.9159,17.6791,132,1,2,129,Bosnia and Herzegovina
03-23-2020,,,,Brazil,2020-03-23 23:19:21,-14.235,-51.9253,1924,34,2,1888,Brazil
03-23-2020,,,,Brunei,2020-03-23 23:19:21,4.5353,114.7277,91,0,2,89,Brunei
03-23-2020,,,,Bulgaria,2020-03-23 23:19:21,42.7339,25.4858,201,3,3,195,Bulgaria
03-23-2020,,,,Burkina Faso,2020-03-23 23:19:21,12.2383,-1.5616,99,4,5,90,Burkina Faso
03-23-2020,,,,Cabo Verde,2020-03-23 23:19:21,16.5388,-23.0418,3,0,0,3,Cabo Verde
03-23-2020,,,,Cambodia,2020-03-23 23:19:21,11.55,104.9167,87,0,2,85,Cambodia
03-23-2020,,,,Cameroon,2020-03-23 23:19:21,3.8480000000000003,11.5021,56,0,2,54,Cameroon
03-23-2020,,,,Central African Republic,2020-03-23 23:19:21,6.6111,20.9394,3,0,0,3,Central African Republic
03-23-2020,,,,Chad,2020-03-23 23:19:21,15.4542,18.7322,1,0,0,1,Chad
03-23-2020,,,,Chile,2020-03-23 23:19:21,-35.6751,-71.543,746,2,11,733,Chile
03-23-2020,,,,Colombia,2020-03-23 23:19:21,4.5709,-74.2973,277,3,3,271,Colombia
03-23-2020,,,,Congo (Brazzaville),2020-03-23 23:19:21,-4.2634,15.2832,4,0,0,4,Congo (Brazzaville)
03-23-2020,,,,Congo (Kinshasa),2020-03-23 23:19:21,-4.322447,15.307045,36,1,0,35,Congo (Kinshasa)
03-23-2020,,,,Costa Rica,2020-03-23 23:19:21,9.7489,-83.7534,158,2,2,154,Costa Rica
03-23-2020,,,,Cote d'Ivoire,2020-03-23 23:19:21,7.54,-5.5471,25,0,2,23,Cote d'Ivoire
03-23-2020,,,,Croatia,2020-03-23 23:19:21,45.1,15.2,315,1,5,309,Croatia
03-23-2020,,,,Cuba,2020-03-23 23:19:21,21.521757,-77.78116700000002,40,1,0,39,Cuba
03-23-2020,,,,Cyprus,2020-03-23 23:19:21,35.1264,33.4299,116,1,3,112,Cyprus
03-23-2020,,,,Czechia,2020-03-23 23:19:21,49.8175,15.472999999999999,1236,1,7,1228,Czechia
03-23-2020,,,,Denmark,2020-03-23 23:19:21,56.2639,9.5018,1450,24,1,1425,Denmark
03-23-2020,,,,Djibouti,2020-03-23 23:19:21,11.8251,42.5903,3,0,0,3,Djibouti
03-23-2020,,,,Dominica,2020-03-23 23:19:21,15.415,-61.371,2,0,0,2,Dominica
03-23-2020,,,,Dominican Republic,2020-03-23 23:19:21,18.7357,-70.1627,245,3,3,239,Dominican Republic
03-23-2020,,,,Ecuador,2020-03-23 23:19:21,-1.8312,-78.1834,981,18,3,960,Ecuador
03-23-2020,,,,Egypt,2020-03-23 23:19:21,26.820553000000004,30.802497999999996,366,19,68,279,Egypt
03-23-2020,,,,El Salvador,2020-03-23 23:19:21,13.7942,-88.8965,3,0,0,3,El Salvador
03-23-2020,,,,Equatorial Guinea,2020-03-23 23:19:21,1.6508,10.2679,9,0,0,9,Equatorial Guinea
03-23-2020,,,,Eritrea,2020-03-23 23:19:21,15.1794,39.7823,1,0,0,1,Eritrea
03-23-2020,,,,Estonia,2020-03-23 23:19:21,58.5953,25.0136,352,0,4,348,Estonia
03-23-2020,,,,Eswatini,2020-03-23 23:19:21,-26.5225,31.4659,4,0,0,4,Eswatini
03-23-2020,,,,Ethiopia,2020-03-23 23:19:21,9.145,40.4897,11,0,0,11,Ethiopia
03-23-2020,,,,Fiji,2020-03-23 23:19:21,-17.7134,178.065,3,0,0,3,Fiji
03-23-2020,,,,Finland,2020-03-23 23:19:21,61.92411,25.748151,700,1,10,689,Finland
03-23-2020,,,,Gabon,2020-03-23 23:19:21,-0.8037,11.6094,5,1,0,4,Gabon
03-23-2020,,,,Gambia,2020-03-23 23:19:21,13.4432,-15.3101,2,1,0,1,Gambia
03-23-2020,,,,Georgia,2020-03-23 23:19:21,42.3154,43.3569,61,0,8,53,Georgia
03-23-2020,,,,Germany,2020-03-23 23:19:21,51.165690999999995,10.451526,29056,123,453,28480,Germany
03-23-2020,,,,Ghana,2020-03-23 23:19:21,7.9465,-1.0232,27,2,0,25,Ghana
