FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Queensland,Australia,2020-04-01 22:04:58,-27.4698,153.0251,781,2,8,771,"Queensland, Australia"
,,Recovered,Canada,2020-04-01 22:04:44,0.0,0.0,0,0,1324,0,"Recovered, Canada"
,,Reunion,France,2020-04-01 21:58:34,-21.1151,55.5364,281,0,40,241,"Reunion, France"
,,Saint Barthelemy,France,2020-04-01 21:58:34,17.9,-62.8333,6,0,1,5,"Saint Barthelemy, France"
,,Saskatchewan,Canada,2020-04-01 22:04:44,52.9399,-106.4509,193,3,0,0,"Saskatchewan, Canada"
,,Shaanxi,China,2020-04-01 01:36:18,35.1917,108.8701,255,3,242,10,"Shaanxi, China"
,,Shandong,China,2020-03-31 00:44:17,36.3427,118.1498,774,7,753,14,"Shandong, China"
,,Shanghai,China,2020-04-01 00:04:18,31.201999999999998,121.4491,516,6,341,169,"Shanghai, China"
,,Shanxi,China,2020-03-31 23:35:56,37.5777,112.2922,137,0,133,4,"Shanxi, China"
,,Sichuan,China,2020-04-01 11:54:10,30.6171,102.7103,552,3,537,12,"Sichuan, China"
,,Sint Maarten,Netherlands,2020-04-01 21:58:34,18.0425,-63.0548,16,1,6,9,"Sint Maarten, Netherlands"
,,South Australia,Australia,2020-04-01 22:04:58,-34.9285,138.6007,367,0,6,361,"South Australia, Australia"
,,St Martin,France,2020-04-01 21:58:34,18.0708,-63.0501,15,1,2,12,"St Martin, France"
,,Tasmania,Australia,2020-04-01 22:04:58,-42.8821,147.3272,69,2,5,62,"Tasmania, Australia"
,,Tianjin,China,2020-04-01 10:53:31,39.3054,117.323,176,3,135,38,"Tianjin, China"
,,Tibet,China,2020-02-23 11:19:02,31.6927,88.0924,1,0,1,0,"Tibet, China"
,,Turks and Caicos Islands,United Kingdom,2020-04-01 21:58:34,21.69400000000001,-71.7979,6,0,0,6,"Turks and Caicos Islands, United Kingdom"
,,Victoria,Australia,2020-04-01 22:04:58,-37.8136,144.9631,968,4,343,621,"Victoria, Australia"
,,Western Australia,Australia,2020-04-01 22:04:58,-31.9505,115.8605,392,2,48,342,"Western Australia, Australia"
,,Xinjiang,China,2020-03-08 05:31:02,41.1129,85.2401,76,3,73,0,"Xinjiang, China"
