FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Grenada,4/4/20 23:34,12.1165,-61.679,12,0,0,12,Grenada
,,,Guatemala,4/4/20 23:34,15.7835,-90.2308,61,2,15,44,Guatemala
,,,Guinea,4/4/20 23:34,9.9456,-9.6966,111,0,5,106,Guinea
,,,Guinea-Bissau,4/4/20 23:34,11.8037,-15.1804,18,0,0,18,Guinea-Bissau
,,,Guyana,4/4/20 23:34,4.860416,-58.93018,23,4,0,19,Guyana
,,,Haiti,4/4/20 23:34,18.9712,-72.2852,20,0,1,19,Haiti
,,,Holy See,4/4/20 23:34,41.9029,12.4534,7,0,0,7,Holy See
,,,Honduras,4/4/20 23:34,15.2,-86.2419,264,15,3,246,Honduras
,,,Hungary,4/4/20 23:34,47.1625,19.5033,678,32,58,588,Hungary
,,,Iceland,4/4/20 23:34,64.9631,-19.0208,1417,4,396,1017,Iceland
,,,India,4/4/20 23:34,20.593684,78.96288,3082,86,229,2767,India
,,,Indonesia,4/4/20 23:34,-0.7893,113.9213,2092,191,150,1751,Indonesia
,,,Iran,4/4/20 23:34,32.427908,53.688046,55743,3452,19736,32555,Iran
,,,Iraq,4/4/20 23:34,33.223191,43.679291,878,56,259,563,Iraq
,,,Ireland,4/4/20 23:34,53.1424,-7.6921,4604,137,25,4442,Ireland
,,,Israel,4/4/20 23:34,31.046051,34.851612,7851,44,427,7380,Israel
,,,Italy,4/4/20 23:34,41.87194,12.56738,124632,15362,20996,88274,Italy
,,,Jamaica,4/4/20 23:34,18.1096,-77.2975,53,3,7,43,Jamaica
,,,Japan,4/4/20 23:34,36.204824,138.252924,3139,77,514,2548,Japan
,,,Jordan,4/4/20 23:34,31.24,36.51,323,5,74,244,Jordan
,,,Kazakhstan,4/4/20 23:34,48.0196,66.9237,531,5,36,490,Kazakhstan
,,,Kenya,4/4/20 23:34,-0.0236,37.9062,126,4,4,118,Kenya
,,,"Korea, South",4/4/20 23:34,35.907757,127.766922,10156,177,6325,3654,"Korea, South"
,,,Kosovo,4/4/20 23:34,42.602636,20.902977,135,1,16,118,Kosovo
,,,Kuwait,4/4/20 23:34,29.31166,47.481766,479,1,93,385,Kuwait
,,,Kyrgyzstan,4/4/20 23:34,41.20438,74.766098,144,1,9,134,Kyrgyzstan
,,,Laos,4/4/20 23:34,19.85627,102.495496,10,0,0,10,Laos
,,,Latvia,4/4/20 23:34,56.8796,24.6032,509,1,1,507,Latvia
,,,Lebanon,4/4/20 23:34,33.8547,35.8623,520,17,54,449,Lebanon
,,,Liberia,4/4/20 23:34,6.428055,-9.429499,10,1,3,6,Liberia
,,,Libya,4/4/20 23:34,26.3351,17.228331,18,1,0,17,Libya
,,,Liechtenstein,4/4/20 23:34,47.14,9.55,77,1,0,76,Liechtenstein
,,,Lithuania,4/4/20 23:34,55.1694,23.8813,771,11,7,753,Lithuania
,,,Luxembourg,4/4/20 23:34,49.8153,6.1296,2729,31,500,2198,Luxembourg
,,,MS Zaandam,4/4/20 23:34,,,9,2,0,7,",,MS Zaandam"
,,,Madagascar,4/4/20 23:34,-18.766947,46.869107,70,0,0,70,Madagascar
,,,Malawi,4/4/20 23:34,-13.254308,34.301525,4,0,0,4,Malawi
,,,Malaysia,4/4/20 23:34,4.210484,101.975766,3483,57,915,2511,Malaysia
,,,Maldives,4/4/20 23:34,3.2028,73.2207,19,0,13,6,Maldives
,,,Mali,4/4/20 23:34,17.570692,-3.996166,41,3,1,37,Mali
,,,Malta,4/4/20 23:34,35.9375,14.3754,213,0,2,211,Malta
,,,Mauritania,4/4/20 23:34,21.0079,-10.9408,6,1,2,3,",,Mauritania"
,,,Mauritius,4/4/20 23:34,-20.348404,57.552152,196,7,7,182,Mauritius
,,,Mexico,4/4/20 23:34,23.6345,-102.5528,1688,60,633,995,Mexico
,,,Moldova,4/4/20 23:34,47.4116,28.3699,752,12,29,711,Moldova
,,,Monaco,4/4/20 23:34,43.7333,7.4167,66,1,3,62,Monaco
,,,Mongolia,4/4/20 23:34,46.8625,103.8467,14,0,2,12,Mongolia
,,,Montenegro,4/4/20 23:34,42.708678,19.37439,201,2,1,198,Montenegro
,,,Morocco,4/4/20 23:34,31.7917,-7.0926,919,59,66,794,Morocco
,,,Mozambique,4/4/20 23:34,-18.665695,35.529562,10,0,1,9,Mozambique
,,,Namibia,4/4/20 23:34,-22.9576,18.4904,14,0,3,11,Namibia
,,,Nepal,4/4/20 23:34,28.1667,84.25,9,0,1,8,Nepal
,,,Netherlands,4/4/20 23:34,52.1326,5.2913,16627,1651,250,14726,Netherlands
,,,New Zealand,4/4/20 23:34,-40.9006,174.886,950,1,127,822,New Zealand
,,,Nicaragua,4/4/20 23:34,12.865416,-85.207229,5,1,0,4,Nicaragua
,,,Niger,4/4/20 23:34,17.607789,8.081666,144,8,0,136,Niger
,,,Nigeria,4/4/20 23:34,9.082,8.6753,214,4,25,185,Nigeria
,,,North Macedonia,4/4/20 23:34,41.6086,21.7453,483,17,20,446,North Macedonia
,,,Norway,4/4/20 23:34,60.472,8.4689,5550,62,32,5456,Norway
,,,Oman,4/4/20 23:34,21.512583,55.923255,277,2,61,214,Oman
,,,Pakistan,4/4/20 23:34,30.3753,69.3451,2818,41,131,2646,Pakistan
,,,Panama,4/4/20 23:34,8.538,-80.7821,1673,41,13,1619,Panama
,,,Papua New Guinea,4/4/20 23:34,-6.314993,143.95555,1,0,0,1,Papua New Guinea
,,,Paraguay,4/4/20 23:34,-23.4425,-58.4438,96,3,12,81,Paraguay
,,,Peru,4/4/20 23:34,-9.19,-75.0152,1746,73,914,759,Peru
,,,Philippines,4/4/20 23:34,12.879721,121.774017,3094,144,57,2893,Philippines
,,,Poland,4/4/20 23:34,51.9194,19.1451,3627,79,116,3432,Poland
,,,Portugal,4/4/20 23:34,39.3999,-8.2245,10524,266,75,10183,Portugal
,,,Qatar,4/4/20 23:34,25.3548,51.1839,1325,3,109,1213,Qatar
,,,Romania,4/4/20 23:34,45.9432,24.9668,3613,146,329,3138,Romania
,,,Russia,4/4/20 23:34,61.52401,105.318756,4731,43,333,4355,Russia
,,,Rwanda,4/4/20 23:34,-1.9403,29.8739,102,0,0,102,Rwanda
,,,Saint Kitts and Nevis,4/4/20 23:34,17.357822,-62.782998,9,0,0,9,Saint Kitts and Nevis
,,,Saint Lucia,4/4/20 23:34,13.9094,-60.9789,14,0,1,13,Saint Lucia
,,,Saint Vincent and the Grenadines,4/4/20 23:34,12.9843,-61.2872,7,0,1,6,Saint Vincent and the Grenadines
,,,San Marino,4/4/20 23:34,43.9424,12.4578,259,32,27,200,San Marino
,,,Saudi Arabia,4/4/20 23:34,23.885942,45.079162,2179,29,420,1730,Saudi Arabia
,,,Senegal,4/4/20 23:34,14.4974,-14.4524,219,2,72,145,Senegal
,,,Serbia,4/4/20 23:34,44.0165,21.0059,1624,44,0,1580,Serbia
,,,Seychelles,4/4/20 23:34,-4.6796,55.492,10,0,0,10,Seychelles
,,,Sierra Leone,4/4/20 23:34,8.460555,-11.779889,4,0,0,4,Sierra Leone
,,,Singapore,4/4/20 23:34,1.2833,103.8333,1189,6,297,886,Singapore
,,,Slovakia,4/4/20 23:34,48.669,19.699,471,1,10,460,Slovakia
,,,Slovenia,4/4/20 23:34,46.1512,14.9955,977,22,79,876,Slovenia
,,,Somalia,4/4/20 23:34,5.152149,46.199616,7,0,1,6,Somalia
,,,South Africa,4/4/20 23:34,-30.5595,22.9375,1585,9,95,1481,South Africa
,,,Spain,4/4/20 23:34,40.463667,-3.74922,126168,11947,34219,80002,Spain
,,,Sri Lanka,4/4/20 23:34,7.873054,80.771797,166,5,27,134,Sri Lanka
,,,Sudan,4/4/20 23:34,12.8628,30.2176,10,2,2,6,Sudan
,,,Suriname,4/4/20 23:34,3.9193,-56.0278,10,1,0,9,Suriname
,,,Sweden,4/4/20 23:34,60.128161,18.643501,6443,373,205,5865,Sweden
,,,Switzerland,4/4/20 23:34,46.8182,8.2275,20505,666,6415,13424,Switzerland
,,,Syria,4/4/20 23:34,34.802075,38.996815,16,2,2,12,Syria
,,,Taiwan*,4/4/20 11:36,23.7,121,355,5,50,300,Taiwan*
,,,Tanzania,4/4/20 23:34,-6.369028,34.888822,20,1,3,16,Tanzania
,,,Thailand,4/4/20 23:34,15.870032,100.992541,2067,20,674,1373,Thailand
,,,Timor-Leste,4/4/20 23:34,-8.874217,125.727539,1,0,0,1,Timor-Leste
,,,Togo,4/4/20 23:34,8.6195,0.8248,41,3,17,21,Togo
,,,Trinidad and Tobago,4/4/20 23:34,10.6918,-61.2225,103,6,1,96,Trinidad and Tobago
,,,Tunisia,4/4/20 23:34,33.886917,9.537499,553,18,5,530,Tunisia
,,,Turkey,4/4/20 23:34,38.9637,35.2433,23934,501,786,22647,Turkey
,,,Uganda,4/4/20 23:34,1.373333,32.290275,48,0,0,48,Uganda
,,,Ukraine,4/4/20 23:34,48.3794,31.1656,1225,32,25,1168,Ukraine
,,,United Arab Emirates,4/4/20 23:34,23.424076,53.847818,1505,10,125,1370,United Arab Emirates
,,,United Kingdom,4/4/20 23:34,55.3781,-3.436,41903,4313,135,37455,United Kingdom
,,,Uruguay,4/4/20 23:34,-32.5228,-55.7658,400,5,93,302,Uruguay
,,,Uzbekistan,4/4/20 23:34,41.377491,64.585262,266,2,25,239,Uzbekistan
,,,Venezuela,4/4/20 23:34,6.4238,-66.5897,155,7,52,96,Venezuela
,,,Vietnam,4/4/20 23:34,14.058324,108.277199,240,0,90,150,Vietnam
,,,West Bank and Gaza,4/4/20 23:34,31.9522,35.2332,217,1,21,195,West Bank and Gaza
,,,Zambia,4/4/20 23:34,-13.133897,27.849332,39,1,2,36,Zambia
,,,Zimbabwe,4/4/20 23:34,-19.015438,29.154857,9,1,0,8,Zimbabwe
,,Alberta,Canada,2020-04-05 23:13:28,53.9333,-116.5765,1181,20,0,0,"Alberta, Canada"
,,Anguilla,United Kingdom,2020-04-05 23:06:26,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Anhui,China,2020-03-08 05:19:01,31.8257,117.2264,990,6,984,0,"Anhui, China"
,,Aruba,Netherlands,2020-04-05 23:06:26,12.5211,-69.9683,64,0,1,63,"Aruba, Netherlands"
,,Australian Capital Territory,Australia,2020-04-05 23:13:44,-35.4735,149.0124,96,2,28,66,"Australian Capital Territory, Australia"
,,Beijing,China,2020-04-05 01:28:19,40.1824,116.4142,586,8,441,137,"Beijing, China"
,,Bermuda,United Kingdom,2020-04-05 23:06:26,32.3078,-64.7505,37,0,14,23,"Bermuda, United Kingdom"
,,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-05 23:06:26,12.1784,-68.2385,2,0,0,2,"Bonaire, Sint Eustatius and Saba, Netherlands"
,,British Columbia,Canada,2020-04-05 23:13:28,53.7267,-127.6476,1203,38,0,0,"British Columbia, Canada"
,,British Virgin Islands,United Kingdom,2020-04-05 23:06:26,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-05 23:06:26,19.3133,-81.2546,35,1,1,33,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-05 23:06:26,49.3723,-2.3644,309,6,27,276,"Channel Islands, United Kingdom"
,,Chongqing,China,2020-03-29 00:14:12,30.0572,107.874,579,6,570,3,"Chongqing, China"
,,Curacao,Netherlands,2020-04-05 23:06:26,12.1696,-68.99,11,1,5,5,"Curacao, Netherlands"
,,Diamond Princess,Canada,2020-04-05 23:13:28,,,0,1,0,0,"Diamond Princess, Canada"
,,Falkland Islands (Islas Malvinas),United Kingdom,2020-04-05 23:06:26,-51.7963,-59.5236,2,0,0,2,"Falkland Islands (Islas Malvinas), United Kingdom"
,,Faroe Islands,Denmark,2020-04-05 23:06:26,61.8926,-6.9118,181,0,99,82,"Faroe Islands, Denmark"
,,French Guiana,France,2020-04-05 23:06:26,4.0,-53.0,61,0,22,39,"French Guiana, France"
,,French Polynesia,France,2020-04-05 23:06:26,-17.6797,-149.4068,41,0,0,41,"French Polynesia, France"
,,Fujian,China,2020-04-05 01:58:42,26.0789,117.9874,350,1,303,46,"Fujian, China"
,,Gansu,China,2020-04-04 02:25:59,37.8099,101.0583,138,2,131,5,"Gansu, China"
,,Gibraltar,United Kingdom,2020-04-05 23:06:26,36.1408,-5.3536,103,0,52,51,"Gibraltar, United Kingdom"
,,Grand Princess,Canada,2020-04-05 23:13:28,,,13,0,0,0,"Grand Princess, Canada"
,,Greenland,Denmark,2020-04-05 23:06:26,71.7069,-42.6043,11,0,3,8,"Greenland, Denmark"
,,Guadeloupe,France,2020-04-05 23:06:26,16.265,-61.551,135,7,31,97,"Guadeloupe, France"
,,Guangdong,China,2020-04-05 01:49:37,23.3417,113.4244,1524,8,1387,129,"Guangdong, China"
,,Guangxi,China,2020-04-02 00:16:02,23.8298,108.7881,254,2,252,0,"Guangxi, China"
,,Guizhou,China,2020-03-18 01:37:43,26.8154,106.8748,146,2,144,0,"Guizhou, China"
,,Hainan,China,2020-03-24 04:19:14,19.1959,109.7453,168,6,162,0,"Hainan, China"
,,Hebei,China,2020-04-05 01:06:01,39.549,116.1306,327,6,310,11,"Hebei, China"
,,Heilongjiang,China,2020-04-05 01:08:02,47.861999999999995,127.7615,504,13,469,22,"Heilongjiang, China"
,,Henan,China,2020-03-29 01:44:01,33.882,113.61399999999999,1276,22,1251,3,"Henan, China"
,,Hong Kong,China,2020-04-05 09:23:04,22.3,114.2,890,4,206,680,"Hong Kong, China"
,,Hubei,China,2020-04-05 02:06:47,30.9756,112.2707,67803,3210,63945,648,"Hubei, China"
,,Hunan,China,2020-04-02 01:30:57,27.6104,111.7088,1019,4,1014,1,"Hunan, China"
,,Inner Mongolia,China,2020-04-01 23:56:51,44.0935,113.9448,117,1,74,42,"Inner Mongolia, China"
,,Isle of Man,United Kingdom,2020-04-05 23:06:26,54.2361,-4.5481,127,1,0,126,"Isle of Man, United Kingdom"
,,Jiangsu,China,2020-04-05 01:33:26,32.9711,119.455,651,0,633,18,"Jiangsu, China"
,,Jiangxi,China,2020-03-30 03:15:15,27.614,115.7221,937,1,935,1,"Jiangxi, China"
,,Jilin,China,2020-03-29 00:28:20,43.6661,126.1923,98,1,92,5,"Jilin, China"
,,Liaoning,China,2020-04-05 01:28:19,41.2956,122.6085,142,2,126,14,"Liaoning, China"
,,Macau,China,2020-04-05 02:24:59,22.1667,113.55,44,0,10,34,"Macau, China"
,,Manitoba,Canada,2020-04-05 23:13:28,53.7609,-98.8139,203,2,0,0,"Manitoba, Canada"
,,Martinique,France,2020-04-05 23:06:26,14.6415,-61.0242,149,4,50,95,"Martinique, France"
,,Mayotte,France,2020-04-05 23:06:26,-12.8275,45.166244,147,2,14,131,"Mayotte, France"
,,Montserrat,United Kingdom,2020-04-05 23:06:26,16.742498,-62.187366000000004,6,0,0,6,"Montserrat, United Kingdom"
,,New Brunswick,Canada,2020-04-05 23:13:28,46.5653,-66.4619,98,0,0,0,"New Brunswick, Canada"
,,New Caledonia,France,2020-04-05 23:06:26,-20.904304999999997,165.618042,18,0,1,17,"New Caledonia, France"
,,New South Wales,Australia,2020-04-05 23:13:44,-33.8688,151.2093,2580,16,4,2560,"New South Wales, Australia"
,,Newfoundland and Labrador,Canada,2020-04-05 23:13:28,53.1355,-57.6604,217,1,0,0,"Newfoundland and Labrador, Canada"
,,Ningxia,China,2020-03-16 08:47:05,37.2692,106.1655,75,0,75,0,"Ningxia, China"
,,Northern Territory,Australia,2020-04-05 23:13:44,-12.4634,130.8456,27,0,1,26,"Northern Territory, Australia"
,,Northwest Territories,Canada,2020-04-05 23:13:28,64.8255,-124.8457,4,0,0,0,",Northwest Territories,Canada"
,,Nova Scotia,Canada,2020-04-05 23:13:28,44.681999999999995,-63.7443,262,0,0,0,"Nova Scotia, Canada"
,,Ontario,Canada,2020-04-05 23:13:28,51.2538,-85.3232,4354,119,0,0,"Ontario, Canada"
,,Prince Edward Island,Canada,2020-04-05 23:13:28,46.5107,-63.4168,22,0,0,0,"Prince Edward Island, Canada"
,,Qinghai,China,2020-02-23 11:19:02,35.7452,95.9956,18,0,18,0,"Qinghai, China"
,,Quebec,Canada,2020-04-05 23:13:28,52.9399,-73.5491,7944,75,0,0,"Quebec, Canada"
,,Queensland,Australia,2020-04-05 23:13:44,-27.4698,153.0251,907,4,8,895,"Queensland, Australia"
,,Recovered,Canada,2020-04-05 23:13:28,,,0,0,3012,0,"Recovered, Canada"
,,Reunion,France,2020-04-05 23:06:26,-21.1151,55.5364,344,0,40,304,"Reunion, France"
,,Saint Barthelemy,France,2020-04-05 23:06:26,17.9,-62.8333,6,0,1,5,"Saint Barthelemy, France"
,,Saint Pierre and Miquelon,France,2020-04-05 23:06:26,46.8852,-56.3159,1,0,0,1,"Saint Pierre and Miquelon, France"
,,Saskatchewan,Canada,2020-04-05 23:13:28,52.9399,-106.4509,249,3,0,0,"Saskatchewan, Canada"
,,Shaanxi,China,2020-04-04 01:50:33,35.1917,108.8701,256,3,245,8,"Shaanxi, China"
,,Shandong,China,2020-04-05 01:58:42,36.3427,118.1498,779,7,755,17,"Shandong, China"
,,Shanghai,China,2020-04-05 06:22:56,31.201999999999998,121.4491,531,6,383,142,"Shanghai, China"
,,Shanxi,China,2020-04-05 00:58:54,37.5777,112.2922,138,0,133,5,"Shanxi, China"
,,Sichuan,China,2020-04-05 01:28:19,30.6171,102.7103,558,3,539,16,"Sichuan, China"
,,Sint Maarten,Netherlands,2020-04-05 23:06:26,18.0425,-63.0548,25,4,1,20,"Sint Maarten, Netherlands"
,,South Australia,Australia,2020-04-05 23:13:44,-34.9285,138.6007,407,0,46,361,"South Australia, Australia"
,,St Martin,France,2020-04-05 23:06:26,18.0708,-63.0501,32,2,7,23,"St Martin, France"
,,Tasmania,Australia,2020-04-05 23:13:44,-42.8821,147.3272,82,2,5,75,"Tasmania, Australia"
,,Tianjin,China,2020-04-04 14:03:32,39.3054,117.323,180,3,144,33,"Tianjin, China"
,,Tibet,China,2020-02-23 11:19:02,31.6927,88.0924,1,0,1,0,"Tibet, China"
,,Turks and Caicos Islands,United Kingdom,2020-04-05 23:06:26,21.69400000000001,-71.7979,5,1,0,4,"Turks and Caicos Islands, United Kingdom"
,,Victoria,Australia,2020-04-05 23:13:44,-37.8136,144.9631,1135,8,573,554,"Victoria, Australia"
,,Western Australia,Australia,2020-04-05 23:13:44,-31.9505,115.8605,453,3,92,358,"Western Australia, Australia"
,,Xinjiang,China,2020-03-08 05:31:02,41.1129,85.2401,76,3,73,0,"Xinjiang, China"
,,Yukon,Canada,2020-04-05 23:13:28,64.2823,-135.0,6,0,0,0,",Yukon,Canada"
,,Yunnan,China,2020-04-02 23:33:43,24.974,101.48700000000001,184,2,172,10,"Yunnan, China"
,,Zhejiang,China,2020-04-05 02:18:55,29.1832,120.0934,1263,1,1230,32,"Zhejiang, China"
,,,Afghanistan,2020-04-05 23:06:26,33.93911,67.709953,349,7,15,327,Afghanistan
,,,Albania,2020-04-05 23:06:26,41.1533,20.1683,361,20,104,237,Albania
,,,Algeria,2020-04-05 23:06:26,28.0339,1.6596,1320,152,90,1078,Algeria
,,,Andorra,2020-04-05 23:06:26,42.5063,1.5218,501,18,26,457,Andorra
,,,Angola,2020-04-05 23:06:26,-11.2027,17.8739,14,2,2,10,Angola
,,,Antigua and Barbuda,2020-04-05 23:06:26,17.0608,-61.7964,15,0,0,15,Antigua and Barbuda
,,,Argentina,2020-04-05 23:06:26,-38.4161,-63.6167,1451,44,280,1127,Argentina
,,,Armenia,2020-04-05 23:06:26,40.0691,45.0382,822,7,57,758,Armenia
,,,Austria,2020-04-05 23:06:26,47.5162,14.5501,12051,204,2998,8849,Austria
,,,Azerbaijan,2020-04-05 23:06:26,40.1431,47.5769,584,7,32,545,Azerbaijan
,,,Bahamas,2020-04-05 23:06:26,25.025885,-78.035889,28,4,0,24,Bahamas
,,,Bahrain,2020-04-05 23:06:26,26.0275,50.55,700,4,431,265,Bahrain
,,,Bangladesh,2020-04-05 23:06:26,23.685,90.3563,88,9,33,46,Bangladesh
,,,Barbados,2020-04-05 23:06:26,13.1939,-59.5432,56,1,6,49,Barbados
,,,Belarus,2020-04-05 23:06:26,53.7098,27.9534,562,8,52,502,Belarus
,,,Belgium,2020-04-05 23:06:26,50.8333,4.469936,19691,1447,3751,14493,Belgium
,,,Belize,2020-04-05 23:06:26,17.1899,-88.4976,5,0,0,5,",,Belize"
,,,Benin,2020-04-05 23:06:26,9.3077,2.3158,22,0,5,17,Benin
,,,Bhutan,2020-04-05 23:06:26,27.5142,90.4336,5,0,2,3,Bhutan
,,,Bolivia,2020-04-05 23:06:26,-16.2902,-63.5887,157,10,2,145,Bolivia
,,,Bosnia and Herzegovina,2020-04-05 23:06:26,43.9159,17.6791,654,23,30,601,Bosnia and Herzegovina
,,,Botswana,2020-04-05 23:06:26,-22.3285,24.6849,6,1,0,5,Botswana
,,,Brazil,2020-04-05 23:06:26,-14.235,-51.9253,11130,486,127,10517,Brazil
,,,Brunei,2020-04-05 23:06:26,4.5353,114.7277,135,1,73,61,Brunei
,,,Bulgaria,2020-04-05 23:06:26,42.7339,25.4858,531,20,37,474,Bulgaria
,,,Burkina Faso,2020-04-05 23:06:26,12.2383,-1.5616,345,17,90,238,Burkina Faso
,,,Burma,2020-04-05 23:06:26,21.9162,95.956,21,1,0,20,Burma
,,,Burundi,2020-04-05 23:06:26,-3.3731,29.9189,3,0,0,3,Burundi
,,,Cabo Verde,2020-04-05 23:06:26,16.5388,-23.0418,7,1,0,6,Cabo Verde
,,,Cambodia,2020-04-05 23:06:26,11.55,104.9167,114,0,50,64,Cambodia
,,,Cameroon,2020-04-05 23:06:26,3.8480000000000003,11.5021,650,9,17,624,Cameroon
,,,Central African Republic,2020-04-05 23:06:26,6.6111,20.9394,8,0,0,8,Central African Republic
,,,Chad,2020-04-05 23:06:26,15.4542,18.7322,9,0,0,9,Chad
,,,Chile,2020-04-05 23:06:26,-35.6751,-71.543,4471,34,618,3819,Chile
,,,Colombia,2020-04-05 23:06:26,4.5709,-74.2973,1485,35,88,1362,Colombia
,,,Congo (Brazzaville),2020-04-05 23:06:26,-4.2634,15.2832,45,5,2,38,Congo (Brazzaville)
,,,Congo (Kinshasa),2020-04-05 23:06:26,-4.322447,15.307045,154,18,3,133,Congo (Kinshasa)
,,,Costa Rica,2020-04-05 23:06:26,9.7489,-83.7534,454,2,16,436,Costa Rica
,,,Cote d'Ivoire,2020-04-05 23:06:26,7.54,-5.5471,261,3,37,221,Cote d'Ivoire
,,,Croatia,2020-04-05 23:06:26,45.1,15.2,1182,15,125,1042,Croatia
,,,Cuba,2020-04-05 23:06:26,21.521757,-77.78116700000002,320,8,15,297,Cuba
,,,Cyprus,2020-04-05 23:06:26,35.1264,33.4299,446,9,37,400,Cyprus
,,,Czechia,2020-04-05 23:06:26,49.8175,15.472999999999999,4587,67,96,4424,Czechia
,,,Denmark,2020-04-05 23:06:26,56.2639,9.5018,4369,179,1327,2863,Denmark
,,,Diamond Princess,2020-04-05 23:06:26,,,712,11,619,82,Diamond Princess
,,,Djibouti,2020-04-05 23:06:26,11.8251,42.5903,59,0,9,50,Djibouti
,,,Dominica,2020-04-05 23:06:26,15.415,-61.371,14,0,0,14,Dominica
,,,Dominican Republic,2020-04-05 23:06:26,18.7357,-70.1627,1745,82,17,1646,Dominican Republic
,,,Ecuador,2020-04-05 23:06:26,-1.8312,-78.1834,3646,180,100,3366,Ecuador
,,,Egypt,2020-04-05 23:06:26,26.820553000000004,30.802497999999996,1173,78,247,848,Egypt
,,,El Salvador,2020-04-05 23:06:26,13.7942,-88.8965,62,3,2,57,El Salvador
,,,Equatorial Guinea,2020-04-05 23:06:26,1.6508,10.2679,16,0,1,15,Equatorial Guinea
,,,Eritrea,2020-04-05 23:06:26,15.1794,39.7823,29,0,0,29,Eritrea
,,,Estonia,2020-04-05 23:06:26,58.5953,25.0136,1097,15,62,1020,Estonia
,,,Eswatini,2020-04-05 23:06:26,-26.5225,31.4659,9,0,0,9,Eswatini
,,,Ethiopia,2020-04-05 23:06:26,9.145,40.4897,43,2,4,37,Ethiopia
,,,Fiji,2020-04-05 23:06:26,-17.7134,178.065,12,0,0,12,Fiji
,,,Finland,2020-04-05 23:06:26,61.92411,25.748151,1927,28,300,1599,Finland
,,,France,2020-04-05 23:06:26,46.2276,2.2137,92839,8078,16183,68578,France
,,,Gabon,2020-04-05 23:06:26,-0.8037,11.6094,21,1,1,19,Gabon
,,,Gambia,2020-04-05 23:06:26,13.4432,-15.3101,4,1,2,1,Gambia
,,,Georgia,2020-04-05 23:06:26,42.3154,43.3569,174,2,36,136,Georgia
,,,Germany,2020-04-05 23:06:26,51.165690999999995,10.451526,100123,1584,28700,69839,Germany
,,,Ghana,2020-04-05 23:06:26,7.9465,-1.0232,214,5,31,178,Ghana
,,,Greece,2020-04-05 23:06:26,39.0742,21.8243,1735,73,78,1584,Greece
,,,Grenada,2020-04-05 23:06:26,12.1165,-61.678999999999995,12,0,0,12,Grenada
,,,Guatemala,2020-04-05 23:06:26,15.7835,-90.2308,61,2,15,44,Guatemala
,,,Guinea,2020-04-05 23:06:26,9.9456,-9.6966,121,0,5,116,Guinea
,,,Guinea-Bissau,2020-04-05 23:06:26,11.8037,-15.1804,18,0,0,18,Guinea-Bissau
,,,Guyana,2020-04-05 23:06:26,4.860416000000002,-58.93018000000001,24,4,0,20,Guyana
,,,Haiti,2020-04-05 23:06:26,18.9712,-72.2852,21,1,1,19,Haiti
,,,Holy See,2020-04-05 23:06:26,41.9029,12.4534,7,0,0,7,Holy See
,,,Honduras,2020-04-05 23:06:26,15.2,-86.2419,268,22,6,240,Honduras
,,,Hungary,2020-04-05 23:06:26,47.1625,19.5033,733,34,66,633,Hungary
,,,Iceland,2020-04-05 23:06:26,64.9631,-19.0208,1486,4,428,1054,Iceland
,,,India,2020-04-05 23:06:26,20.593684,78.96288,3588,99,229,3260,India
,,,Indonesia,2020-04-05 23:06:26,-0.7893,113.9213,2273,198,164,1911,Indonesia
,,,Iran,2020-04-05 23:06:26,32.427908,53.68804599999999,58226,3603,19736,34887,Iran
,,,Iraq,2020-04-05 23:06:26,33.223191,43.679291,961,61,279,621,Iraq
,,,Ireland,2020-04-05 23:06:26,53.1424,-7.6921,4994,158,25,4811,Ireland
,,,Israel,2020-04-05 23:06:26,31.046051000000002,34.851612,8430,49,477,7904,Israel
,,,Italy,2020-04-05 23:06:26,41.87194,12.56738,128948,15887,21815,91246,Italy
,,,Jamaica,2020-04-05 23:06:26,18.1096,-77.2975,58,3,8,47,Jamaica
,,,Japan,2020-04-05 23:06:26,36.204824,138.252924,3139,77,514,2548,Japan
,,,Jordan,2020-04-05 23:06:26,31.24,36.51,345,5,110,230,Jordan
,,,Kazakhstan,2020-04-05 23:06:26,48.0196,66.9237,584,6,42,536,Kazakhstan
,,,Kenya,2020-04-05 23:06:26,-0.0236,37.9062,142,4,4,134,Kenya
,,,"Korea, South",2020-04-05 23:06:26,35.90775700000001,127.766922,10237,183,6463,3591,"Korea, South"
,,,Kosovo,2020-04-05 23:06:26,42.602636,20.902977,145,1,23,121,Kosovo
,,,Kuwait,2020-04-05 23:06:26,29.311659999999996,47.481766,556,1,99,456,Kuwait
,,,Kyrgyzstan,2020-04-05 23:06:26,41.20438,74.766098,147,1,9,137,Kyrgyzstan
,,,Laos,2020-04-05 23:06:26,19.856270000000002,102.495496,11,0,0,11,Laos
,,,Latvia,2020-04-05 23:06:26,56.8796,24.6032,533,1,1,531,Latvia
,,,Lebanon,2020-04-05 23:06:26,33.8547,35.8623,527,18,54,455,Lebanon
